,DATE,WILLREITIND,Index
829,1981/3/5,225.04,.
830,1981/3/6,225.04,.
831,1981/3/9,225.04,.
832,1981/3/10,225.04,.
833,1981/3/11,225.04,.
834,1981/3/12,225.04,.
835,1981/3/13,225.04,.
836,1981/3/16,225.04,.
837,1981/3/17,225.04,.
838,1981/3/18,225.04,.
839,1981/3/19,225.04,.
840,1981/3/20,225.04,.
841,1981/3/23,225.04,.
842,1981/3/24,225.04,.
843,1981/3/25,225.04,.
844,1981/3/26,225.04,.
845,1981/3/27,225.04,.
846,1981/3/30,225.04,.
847,1981/3/31,239.2,239.2
848,1981/4/1,239.2,239.2
849,1981/4/2,239.2,.
850,1981/4/3,239.2,.
851,1981/4/6,239.2,.
852,1981/4/7,239.2,.
853,1981/4/8,239.2,.
854,1981/4/9,239.2,.
855,1981/4/10,239.2,.
856,1981/4/13,239.2,.
857,1981/4/14,239.2,.
858,1981/4/15,239.2,.
859,1981/4/16,239.2,.
860,1981/4/17,239.2,.
861,1981/4/20,239.2,.
862,1981/4/21,239.2,.
863,1981/4/22,239.2,.
864,1981/4/23,239.2,.
865,1981/4/24,239.2,.
866,1981/4/27,239.2,.
867,1981/4/28,239.2,.
868,1981/4/29,239.2,.
869,1981/4/30,242.12,242.12
870,1981/5/1,242.12,242.12
871,1981/5/4,242.12,.
872,1981/5/5,242.12,.
873,1981/5/6,242.12,.
874,1981/5/7,242.12,.
875,1981/5/8,242.12,.
876,1981/5/11,242.12,.
877,1981/5/12,242.12,.
878,1981/5/13,242.12,.
879,1981/5/14,242.12,.
880,1981/5/15,242.12,.
881,1981/5/18,242.12,.
882,1981/5/19,242.12,.
883,1981/5/20,242.12,.
884,1981/5/21,242.12,.
885,1981/5/22,242.12,.
886,1981/5/25,242.12,.
887,1981/5/26,242.12,.
888,1981/5/27,242.12,.
889,1981/5/28,242.12,.
890,1981/5/29,235.9,235.9
891,1981/6/1,235.9,235.9
892,1981/6/2,235.9,.
893,1981/6/3,235.9,.
894,1981/6/4,235.9,.
895,1981/6/5,235.9,.
896,1981/6/8,235.9,.
897,1981/6/9,235.9,.
898,1981/6/10,235.9,.
899,1981/6/11,235.9,.
900,1981/6/12,235.9,.
901,1981/6/15,235.9,.
902,1981/6/16,235.9,.
903,1981/6/17,235.9,.
904,1981/6/18,235.9,.
905,1981/6/19,235.9,.
906,1981/6/22,235.9,.
907,1981/6/23,235.9,.
908,1981/6/24,235.9,.
909,1981/6/25,235.9,.
910,1981/6/26,235.9,.
911,1981/6/29,235.9,.
912,1981/6/30,256.3,256.3
913,1981/7/1,256.3,256.3
914,1981/7/2,256.3,.
915,1981/7/3,256.3,.
916,1981/7/6,256.3,.
917,1981/7/7,256.3,.
918,1981/7/8,256.3,.
